Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Parallax,W,W',q,q',Cloud Level,Seen
73,2457842.31134,53.41058,-2.97794,1.811,2457842.27522,2457842.35648,117.0167,8.53025,270.73576,-7.57653,286.72531,0.00243,0.99639,22.65806,16.10677,15.98955,59.53792,1.25194,1.25516,1.12378,1.12538,1,Not_seen
74,2457871.33205,52.47214,-2.08212,1.832,2457871.30701,2457871.36336,81.13662,5.56551,285.21824,-4.87748,300.80278,0.0024,1.00447,18.7417,10.44299,15.58453,60.73014,0.87732,0.87882,0.36582,0.36662,0,Seen
75,2457900.35258,53.01667,-1.73333,1.853,2457900.33921,2457900.36929,43.32652,2.45012,296.57848,-2.25061,310.95194,0.00239,1.01088,15.11875,4.70073,14.37346,61.22203,0.57734,0.57778,-0.37105,-0.3708,0.5,Not_seen
76,2457900.35456,53.70291,-1.6337,1.855,2457900.34137,2457900.37106,42.76759,2.34484,297.16092,-2.16274,311.63803,0.00239,1.01088,15.15903,4.50759,14.4771,61.22621,0.58044,0.58086,-0.38863,-0.38839,0,Not_seen
77,2457900.35135,52.48142,-1.89983,1.851,2457900.33783,2457900.36824,43.78495,2.53143,296.14617,-2.32017,310.44106,0.00239,1.01088,15.09168,4.8516,14.29489,61.21857,0.57525,0.5757,-0.35712,-0.35687,0,Not_seen
78,2457900.35135,52.48142,-1.89983,1.851,2457900.33783,2457900.36824,43.78495,2.53143,296.14617,-2.32017,310.44106,0.00239,1.01088,15.09168,4.8516,14.29489,61.21857,0.57525,0.5757,-0.35712,-0.35687,0,Not_seen
79,2457900.35644,53.58333,-2.43333,1.856,2457900.34317,2457900.37303,43.00379,2.37312,297.0487,-2.18678,311.53294,0.00239,1.01088,15.18139,4.55991,14.48425,61.22447,0.58213,0.58256,-0.38246,-0.38222,0.5,Not_seen
80,2457900.35192,51.48,-3.18,1.852,2457900.3381,2457900.36919,44.76979,2.69835,295.36856,-2.45625,309.54424,0.00239,1.01088,15.07924,5.15461,14.17568,61.21028,0.57423,0.57471,-0.32739,-0.32712,0,Not_seen
81,2457900.34232,51.11303,-0.18312,1.842,2457900.3286,2457900.35947,44.45136,2.70796,295.14066,-2.4686,309.1655,0.00239,1.01088,14.94517,5.17657,14.02484,61.21231,0.56414,0.56462,-0.33083,-0.33057,0,Not_seen
82,2457900.34966,52.6386,-1.13169,1.85,2457900.33623,2457900.36645,43.51162,2.49747,296.28019,-2.29242,310.57557,0.00239,1.01088,15.07253,4.78989,14.29538,61.22061,0.57382,0.57427,-0.36409,-0.36384,0,Not_seen
83,2457900.35741,53.41058,-2.97794,1.857,2457900.34406,2457900.3741,43.24789,2.40723,296.89352,-2.21396,311.36819,0.00239,1.01088,15.19069,4.62119,14.47467,61.22269,0.58282,0.58325,-0.37594,-0.3757,0.5,Not_seen
84,2457900.34333,51.50853,-0.12574,1.843,2457900.3297,2457900.36036,44.15131,2.6493,295.42748,-2.42073,309.51345,0.00239,1.01088,14.96628,5.07003,14.08597,61.21498,0.56575,0.56622,-0.34059,-0.34033,0,Not_seen
85,2457900.35386,53.95763,-1.08271,1.854,2457900.34076,2457900.37023,42.43447,2.29916,297.39071,-2.12406,311.88942,0.00239,1.01088,15.15495,4.42322,14.49871,61.22837,0.58015,0.58056,-0.39723,-0.397,0.5,Not_seen
86,2457929.35632,52.48142,-1.89983,0.856,2457929.35227,2457929.36137,13.09071,0.33957,300.85699,-0.66923,311.83569,0.00241,1.01412,11.02476,1.0088,10.9787,60.94193,0.30643,0.30646,-0.89567,-0.89565,0.5,Not_seen
87,2457929.36182,53.58333,-2.43333,0.862,2457929.35824,2457929.36631,11.62444,0.20916,301.91675,-0.56931,313.00851,0.00241,1.01412,11.11891,0.77847,11.09177,60.94015,0.31166,0.31168,-0.91562,-0.9156,1,Not_seen
88,2457929.35995,53.69076,-1.62907,0.86,2457929.35645,2457929.36433,11.34158,0.18695,302.04235,-0.55273,313.11543,0.00241,1.01412,11.09762,0.73968,11.07308,60.94106,0.31047,0.31049,-0.92019,-0.92018,0.5,Not_seen
89,2457929.34852,51.46839,-0.36092,0.849,2457929.34415,2457929.35397,14.13709,0.44221,299.98189,-0.75122,310.82071,0.0024,1.01412,10.90409,1.19343,10.83882,60.94464,0.29979,0.29983,-0.88113,-0.8811,0,Not_seen
90,2457929.35005,51.87967,-0.41748,0.85,2457929.34584,2457929.35531,13.64115,0.39471,300.33967,-0.7132,311.21599,0.00241,1.01412,10.93239,1.10792,10.87631,60.94433,0.30134,0.30138,-0.88876,-0.88874,0.5,Not_seen
91,2457929.34808,51.39148,-0.29825,0.848,2457929.34369,2457929.35356,14.21271,0.45109,299.91626,-0.75724,310.74623,0.0024,1.01412,10.89694,1.20833,10.82997,60.94475,0.2994,0.29944,-0.87987,-0.87984,0.5,Not_seen
92,2457929.35942,53.95763,-1.08271,0.859,2457929.35607,2457929.36361,10.85362,0.14764,302.32907,-0.52279,313.40582,0.00241,1.01412,11.0969,0.67043,11.07676,60.94142,0.31043,0.31045,-0.92714,-0.92713,0.5,Not_seen
93,2457930.36334,51.11303,-0.18312,1.863,2457930.34236,2457930.38956,67.96138,4.60454,292.07983,-3.51634,315.14546,0.00243,1.01432,24.4342,8.12089,23.06563,60.16611,1.46814,1.4702,0.43108,0.43208,0.5,Seen
94,2457960.36287,53.58333,-2.43333,2.863,2457960.34082,2457960.39043,71.44064,5.05911,279.24497,-3.747,310.63489,0.0025,1.01359,32.5698,8.80611,31.38993,58.38535,2.50161,2.50535,0.97991,0.98162,0.5,Seen
95,2457988.31293,53.58333,-2.43333,1.813,2457988.30319,2457988.3251,31.55991,1.93699,279.80073,-1.94751,292.47908,0.00252,1.00887,13.25776,3.8845,12.67835,58.21445,0.42271,0.42295,-0.54031,-0.54017,1,Not_seen
96,2457988.31039,52.56667,-2.03333,1.81,2457988.30042,2457988.32286,32.31725,2.06102,279.47593,-2.04623,292.03206,0.00252,1.00888,13.20826,4.10725,12.55613,58.21184,0.41956,0.41981,-0.51985,-0.5197,0.5,Not_seen
