,Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
123,123,1989-05-07 01:39:22.464018,42.7,-84.8,2.069,2447653.52796,2447653.62032,133.00111,10.44898,295.82247,-9.54713,303.5896,0.00245,1.00684,21.43724,19.99611,7.76714,0.03459,58.79115,1.10813,1.11156,1.4405,1.44225,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
124,124,2000-01-07 13:54:33.119992,32.7,52.3,1.58,2451551.06626,2451551.09617,43.07095,3.79458,242.2,-3.62483,245.58735,0.0027,0.9807,8.1551,7.41941,3.38735,0.00506,54.24737,0.14946,0.14961,-0.34887,-0.34878,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
125,125,1989-05-07 01:44:01.536011,43.0,-85.7,2.072,2447653.53094,2447653.62387,133.8076,10.44326,295.90536,-9.54037,303.82901,0.00245,1.00685,21.48226,19.98362,7.92365,0.03473,58.78986,1.11271,1.11615,1.44158,1.44333,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
126,126,2004-03-21 16:02:50.495984,30.4,35.5,1.669,2453086.15715,2453086.183,37.22116,3.72214,268.96068,-3.56371,272.72868,0.00261,0.99382,8.20136,7.28585,3.76801,0.00511,56.08066,0.15626,0.15643,-0.35807,-0.35797,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
127,127,2001-03-25 17:04:00.768009,-33.9,18.4,0.711,2451994.19918,2451994.22604,38.67858,3.802,273.65539,-3.56929,270.04926,0.00264,0.99489,8.205,7.37129,-3.60612,0.00512,55.37984,0.15445,0.15461,-0.35064,-0.35054,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,SCHAEFER/ODEH
128,128,2001-08-19 16:28:47.424011,30.2,35.5,0.687,2452141.17461,2452141.20172,39.04125,3.83463,283.20022,-3.61264,286.83236,0.00239,1.00958,8.28466,7.44727,3.63213,0.00522,61.22148,0.17406,0.17427,-0.33109,-0.33097,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
129,129,1921-02-08 18:13:40.800014,36.5,-6.2,0.759,2422729.24542,2422729.27711,45.6338,4.29233,255.86297,-3.88724,254.20737,0.00269,0.98406,8.34516,8.17957,-1.6556,0.00529,54.28362,0.1566,0.15678,-0.2685,-0.26839,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
130,130,1983-11-05 15:19:37.631995,15.6,35.6,1.639,2445644.12726,2445644.15285,36.84006,3.99175,251.75842,-3.79537,254.81929,0.00253,0.98895,8.36622,7.78712,3.06086,0.00532,57.86889,0.16778,0.16798,-0.30093,-0.30081,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
131,131,1989-05-07 01:56:28.031982,30.3,-97.0,2.081,2447653.54519,2447653.6255,115.64224,11.18614,293.92262,-10.20945,296.41092,0.00245,1.00685,21.53811,21.39559,2.4883,0.03491,58.63806,1.11554,1.11923,1.58421,1.58608,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
132,132,1999-12-08 17:44:29.471996,6.5,3.4,1.739,2451521.22727,2451521.25418,38.74784,4.28604,249.08681,-3.94638,247.55437,0.00272,0.98237,8.37359,8.23242,-1.53244,0.00533,53.77726,0.15619,0.15638,-0.26346,-0.26335,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
133,133,2000-11-26 17:33:00.863982,34.0,-6.8,1.731,2451875.2183,2451875.24747,41.99941,3.66699,242.53925,-3.52043,246.83511,0.00266,0.98416,8.37193,7.18742,4.29586,0.00533,55.04865,0.15982,0.15999,-0.36575,-0.36565,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
134,134,1988-06-16 01:39:02.591988,37.2,-84.1,2.069,2447328.53716,2447328.60831,102.45553,8.91173,296.60448,-7.56367,307.06993,0.00265,1.01346,19.49854,16.4754,10.46545,0.02867,54.73847,0.85529,0.8574,0.95742,0.95854,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
135,135,1921-02-08 18:22:15.743992,38.8,-9.1,0.765,2422729.25068,2422729.28394,47.88217,4.35723,255.16188,-3.94369,253.91071,0.00269,0.98407,8.39452,8.30092,-1.25117,0.00536,54.28062,0.15844,0.15863,-0.25524,-0.25512,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
136,136,2001-12-15 15:41:24.000005,-4.0,39.7,1.654,2452259.14122,2452259.16942,40.61356,4.39411,246.27797,-4.12606,246.26964,0.0026,0.98168,8.52018,8.52018,-0.00834,0.00552,56.28185,0.16923,0.16944,-0.22674,-0.22661,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
137,137,2003-06-02 00:49:01.055985,26.0,-80.3,2.034,2452792.50328,2452792.57249,99.65462,10.16772,293.9549,-8.83822,299.97271,0.00267,1.01165,19.92743,19.00595,6.01781,0.02994,54.03411,0.88145,0.8839,1.2243,1.22559,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
138,138,2000-07-31 18:18:23.327993,6.5,3.4,0.763,2451757.25085,2451757.27767,38.62041,4.3288,286.9581,-4.04582,288.70617,0.00241,1.01265,8.5548,8.37463,1.74807,0.00556,60.68407,0.18395,0.18419,-0.23236,-0.23221,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,SCHAEFER/ODEH
139,139,2000-12-26 13:52:29.568017,29.6,52.5,1.578,2451905.06527,2451905.09419,41.64002,3.73299,240.74343,-3.61187,245.12,0.0027,0.9808,8.5484,7.34487,4.37657,0.00555,54.07521,0.16367,0.16384,-0.34766,-0.34755,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
140,140,1972-03-17 02:47:06.719986,35.5,-117.6,2.116,2441393.57985,2441393.66131,117.29895,11.8469,275.97375,-10.58895,275.9702,0.00241,0.99299,22.43585,22.43585,-0.00355,0.03785,59.59045,1.2289,1.23327,1.74522,1.7474,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,SCHAEFER/ODEH
141,141,2000-07-02 11:36:08.352002,2.3,102.4,1.483,2451727.97109,2451727.99884,39.96135,4.37641,291.38257,-4.08,293.25182,0.00239,1.01438,8.66017,8.45641,1.86926,0.0057,61.12754,0.18988,0.19014,-0.22059,-0.22043,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
142,142,2004-03-21 16:51:41.184011,38.0,23.7,1.703,2453086.19024,2453086.21796,39.91882,3.62043,268.5488,-3.4902,273.44301,0.00261,0.99383,8.63039,7.11063,4.89421,0.00566,56.06829,0.17297,0.17315,-0.36542,-0.36531,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
143,143,2000-12-26 14:09:30.815988,26.6,50.0,1.59,2451905.07698,2451905.10613,41.98194,3.93033,241.77885,-3.76898,245.72818,0.0027,0.9808,8.65177,7.69931,3.94934,0.00569,54.06047,0.1676,0.16778,-0.30982,-0.30971,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
144,144,1990-05-26 03:05:58.559994,31.6,-110.5,2.129,2448037.59287,2448037.67451,117.57164,11.23704,294.08112,-9.76504,302.28143,0.00241,1.01082,22.52924,21.00209,8.20032,0.03816,59.55059,1.23819,1.24237,1.60647,1.60855,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
