hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-8,2010-07-11 19:40:00,2010-07-12,Germany,Moerlenbach,Hessen,clear,totally cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Lebanon,Beirut,NA,clear,clear,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Malaysia,Tanjung Bidara,Melaka,hazy,partly cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Nigeria,Lagos,Lagos,very hazy,totally cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Nigeria,Bauchi,Bauchi,clear,partly cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Nigeria,KADUNA,KADUNA,superb,clear,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Oman,Muscat,Muscat,very hazy,partly cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Pakistan,karachi,sindh,very hazy,totally cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Saudi Arabia,Dammam,Eastern Province,hazy,clear,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Senegal,Dakar,Senegal,hazy,partly cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,South Africa,Cape Town,Western Province,hazy,clear,True,True,True,False
31-8,2010-07-11 19:40:00,2010-07-12,Tanzania,Daressalaam,Tanzania,hazy,clear,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,United Arab Emirates,Abu Dhabi,Abu Dhabi,clear,clear,False,False,False,True
31-8,2010-07-11 19:40:00,2010-07-12,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,United States,Blacksburg,Virginia,hazy,partly cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-13,Pakistan,karachi,sindh,very hazy,totally cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-13,Saudi Arabia,Dammam,Eastern Province,hazy,clear,True,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Algeria,Ghardaia,Ghardaia,hazy,partly cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Indonesia,Yogyakarta,Yogyakarta,hazy,partly cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Iran,Maragheh,East Azerbaijan,hazy,partly cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Jordan,Amman,Amman,hazy,clear,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Lebanon,Bhamdoun,NA,hazy,totally cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Libya,Tripoli,na,clear,clear,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Malaysia,Tanjung Bidara,Melaka,hazy,totally cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Nigeria,Marina Leventis,Lagos,hazy,totally cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Nigeria,Lagos,Lagos,hazy,totally cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Nigeria,Kaduna,Kaduna,hazy,partly cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Norway,Oslo,Oslo,clear,totally cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Norway,Sandvika,Akershus,very hazy,totally cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Oman,Muscat,Muscat,very hazy,partly cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Pakistan,karachi,sindh,hazy,clear,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Qatar,Doha,Doha,clear,clear,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Saudi Arabia,Halat Ammar,Tabouk,hazy,clear,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,Senegal,Dakar,Senega,hazy,partly cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,South Africa,Cape Town,Western Province,hazy,clear,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,United Kingdom,York,North Yorkshire,clear,clear,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,United States,Blacksburg,Virginia,very hazy,partly cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-10,United States,McDonald Obs,TX,clear,partly cloudy,False,False,False,False
