hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-6,14/05/2010 01:04,14/05/2010,United Kingdom,York,North Yorkshire,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,14/05/2010,United States,Blacksburg,VA,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Algeria,Ghardaia,Ghardaia,superb,clear,TRUE,TRUE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Indonesia,Surakarta,Central Java,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Malaysia,Jasin,Melaka,hazy,partly cloudy,TRUE,FALSE,TRUE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Nigeria,Agege,Lagos,hazy,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Nigeria,KADUNA,KADUNA,clear,clear,TRUE,TRUE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Pakistan,karachi,sindh,hazy,clear,TRUE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Somalia,Garoowe,Puntland State,clear,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,South Africa,Cape Town,Western Province,clear,clear,TRUE,TRUE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Tanzania,Daressalaam,Tanzania,clear,clear,TRUE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,Trinidad And Tobago,Cunupia,Chaguanas,clear,clear,TRUE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,15/05/2010,United Kingdom,York,North Yorkshire,clear,clear,TRUE,TRUE,TRUE,FALSE
31-Jul,12/06/2010 11:15,12/06/2010,Nigeria,Bauchi,Bauchi,clear,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,12/06/2010,United States,Blacksburg,Virginia,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,12/06/2010,United States,Tucson,AZ,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Bangladesh,Dhaka,Bangladesh,clear,clear,TRUE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Indonesia,Surakarta,Central Java,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Jordan,Amman,Amman,hazy,clear,TRUE,TRUE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Malaysia,Tg. Biadara,Malacca,hazy,partly cloudy,TRUE,FALSE,TRUE,FALSE
